Mag,Long,Lat,Depth,Year,Mo,Day,Hr,Min,Sec,Cat,Depthneg
1.9,-112.6802,38.2573,0.1,2000,1,29,0,3,39.45,0,-0.1
2.08,-113.255,37.7008,0.1,2000,2,13,11,53,4.48,0,-0.1
1.48,-112.5348,38.1217,0.1,2000,3,8,4,1,39.81,0,-0.1
2.73,-112.4487,38.7273,0.1,2000,3,24,1,8,26.5,0,-0.1
1.83,-111.196,42.442,0.1,2000,4,3,13,32,45.72,0,-0.1
1.24,-113.4758,36.9588,0.1,2000,7,13,15,40,35.16,0,-0.1
2.38,-112.627,38.3148,0.1,2000,8,2,5,5,26.15,0,-0.1
2.32,-112.6287,38.2757,0.1,2000,9,10,19,43,10.19,0,-0.1
0.98,-112.5955,41.8745,0.1,2000,10,26,0,54,26.71,0,-0.1
0.93,-112.1683,38.5723,0.1,2000,11,11,11,15,22.02,0,-0.1
1.98,-111.203,42.4997,0.1,2001,1,3,11,22,33.97,0,-0.1
0.93,-112.5235,38.6972,0.1,2001,2,23,22,16,46.39,0,-0.1
2.05,-112.3822,38.2752,0.1,2001,5,21,0,56,10.39,0,-0.1
1.55,-112.1665,40.5173,0.1,2001,6,30,16,29,21.02,0,-0.1
1.85,-112.4108,37.8963,0.1,2001,7,17,14,37,49.69,0,-0.1
2.15,-113.0285,37.776,0.1,2001,10,3,8,25,34.24,0,-0.1
0.85,-111.354,40.6257,0.1,2002,1,18,22,49,1.33,0,-0.1
1.77,-112.6552,38.1982,0.1,2002,1,21,1,16,2.84,0,-0.1
0.92,-111.3578,40.6218,0.1,2002,1,30,0,29,9.21,0,-0.1
2.17,-112.4585,38.5307,0.1,2002,2,22,22,59,28.49,0,-0.1
2.29,-112.5507,38.7163,0.1,2002,3,21,20,16,14.37,0,-0.1
3.03,-112.951,37.0863,0.1,2002,4,5,6,36,10.2,0,-0.1
2.03,-112.2632,38.567,0.1,2002,4,21,13,13,0.54,0,-0.1
2.22,-112.1412,38.669,0.1,2002,7,10,1,53,44.22,0,-0.1
1,-112.1237,38.6595,0.1,2002,7,10,17,54,36.13,0,-0.1
1.88,-111.81,39.9775,0.1,2002,11,12,0,56,29.6,0,-0.1
2.84,-112.6032,38.2303,0.1,2003,1,1,15,52,2.62,0,-0.1
3.37,-112.2612,38.6992,0.1,2003,2,11,9,0,42.15,0,-0.1
1.92,-112.9077,41.1348,0.1,2003,6,11,21,22,2.99,0,-0.1
1.15,-111.8773,40.8243,0.1,2003,9,4,16,41,41.65,0,-0.1
0.36,-111.417,40.6272,0.1,2003,10,24,20,28,10.45,0,-0.1
1.76,-111.9415,39.644,0.1,2003,12,30,16,18,58.39,0,-0.1
3,-112.3217,38.325,0.1,2004,3,17,19,36,34.33,0,-0.1
1.73,-112.4747,37.9188,0.1,2004,4,12,11,51,49.37,0,-0.1
1.63,-112.6435,38.1672,0.1,2004,9,26,7,34,35.2,0,-0.1
0.7,-111.4093,40.6285,0.1,2004,9,28,19,32,48.43,0,-0.1
0.79,-111.3983,40.629,0.1,2004,10,13,22,56,21.12,0,-0.1
0.79,-112.0208,41.6103,0.1,2005,6,10,14,41,33.77,0,-0.1
1.94,-114.0482,37.7595,0.1,2005,7,23,13,20,38.43,0,-0.1
1.1,-112.6345,38.2622,0.1,2005,8,27,11,10,55.66,0,-0.1
1.13,-111.7753,41.8062,0.1,2005,8,27,16,10,7.44,0,-0.1
0.98,-111.3698,40.6172,0.1,2005,9,1,19,22,15.97,0,-0.1
1.3,-112.093,39.9592,0.1,2005,11,17,18,56,33.19,0,-0.1
1.57,-112.8918,37.1433,0.1,2005,12,13,7,59,14.5,0,-0.1
1.96,-112.5095,37.8908,0.1,2006,1,10,11,18,40.9,0,-0.1
2.16,-112.8032,38.0273,0.1,2006,6,26,11,3,6.6,0,-0.1
1.26,-111.9153,40.8067,0.1,2006,9,1,20,8,19.77,0,-0.1
1.3,-111.8965,40.8268,0.1,2006,10,11,22,6,51.72,0,-0.1
1.22,-111.3983,40.6187,0.1,2007,1,31,16,44,5.62,0,-0.1
0.74,-111.41,40.6162,0.1,2007,4,25,20,26,3.76,0,-0.1
0.98,-112.2112,38.5018,0.1,2007,5,2,16,3,0.08,0,-0.1
2.06,-112.2033,38.5033,0.1,2007,5,3,0,14,37.02,0,-0.1
1.62,-112.2115,38.4977,0.1,2007,6,8,23,1,50,0,-0.1
0.89,-112.2152,38.4882,0.1,2007,6,16,22,14,11.06,0,-0.1
1.38,-112.2097,38.4832,0.1,2007,6,18,8,5,4.24,0,-0.1
1.22,-111.445,40.5617,0.1,2007,6,28,16,27,32.05,0,-0.1
2.71,-112.2007,38.4832,0.1,2007,7,6,7,31,34.26,0,-0.1
1.56,-111.8837,40.816,0.1,2007,7,11,20,36,40.23,0,-0.1
1.99,-112.3187,37.5243,0.1,2007,7,26,4,55,49.92,0,-0.1
1.99,-108.9583,38.4042,0.1,2007,8,6,23,44,15.16,0,-0.1
0.58,-111.3942,40.6208,0.1,2007,8,15,16,4,59.85,0,-0.1
1.72,-112.3178,37.5295,0.1,2007,9,6,3,16,37.85,0,-0.1
1.91,-112.1888,38.2102,0.1,2007,11,29,19,28,39.6,0,-0.1
1.54,-112.2183,41.8128,0.1,2008,6,2,12,16,26.61,0,-0.1
3.39,-112.3168,37.5353,0.1,2008,8,28,19,26,27.8,0,-0.1
1.53,-112.3132,37.5347,0.1,2008,9,2,20,39,56.3,0,-0.1
1.25,-112.312,37.5263,0.1,2008,9,14,4,16,7.63,0,-0.1
1.94,-112.3202,37.5437,0.1,2008,9,14,7,2,9.35,0,-0.1
1.65,-111.9493,40.469,0.1,2009,1,24,1,3,55.2,0,-0.1
1.24,-113.32,37.6165,0.1,2009,3,5,14,45,4.04,0,-0.1
1.69,-112.4573,38.3867,0.1,2009,7,4,17,15,14.27,0,-0.1
1.75,-110.1447,38.9698,0.1,2009,11,12,6,52,24.21,0,-0.1
2.79,-112.3238,37.535,0.1,2010,3,5,13,22,16.52,0,-0.1
3.22,-111.0757,41.6833,0.1,2010,6,11,11,6,14.54,0,-0.1
1.76,-111.9615,40.47,0.1,2010,8,4,22,55,3.19,0,-0.1
2.16,-111.5148,42.043,0.1,2010,8,27,15,18,18.74,0,-0.1
1.75,-113.0707,38.1835,0.1,2010,9,17,18,15,49.45,0,-0.1
2.44,-112.4407,38.7285,0.2,2000,3,24,0,1,28.46,0,-0.2
1.99,-113.9992,37.7923,0.2,2000,5,26,20,24,54.36,0,-0.2
2.07,-112.8527,37.1363,0.2,2000,6,10,13,50,32.74,0,-0.2
2.36,-110.428,40.9313,0.2,2000,6,16,8,55,54.46,0,-0.2
1.33,-112.0607,42.1002,0.2,2000,9,16,21,55,25.87,0,-0.2
1.49,-112.0535,42.097,0.2,2000,9,17,1,3,16.57,0,-0.2
1.58,-112.5483,38.7083,0.2,2001,2,24,5,44,59.79,0,-0.2
3.58,-112.5453,38.723,0.2,2001,2,28,4,9,46.01,0,-0.2
2.13,-112.3752,38.1192,0.2,2001,6,22,4,44,41.49,0,-0.2
2.33,-112.6917,38.0772,0.2,2001,8,31,1,16,55.01,0,-0.2
3.04,-113.3652,37.852,0.2,2002,2,6,18,52,34.32,0,-0.2
1.26,-112.7008,38.181,0.2,2002,8,27,9,44,45.75,0,-0.2
0.43,-111.4132,40.6177,0.2,2002,10,2,19,53,28.36,0,-0.2
2.12,-114.0157,41.3818,0.2,2002,11,3,23,15,10.51,0,-0.2
1.55,-111.1315,42.377,0.2,2002,11,5,7,12,22.46,0,-0.2
2.9,-112.6135,38.2265,0.2,2002,12,31,20,39,45.44,0,-0.2
3.33,-112.212,41.8288,0.2,2003,2,1,20,37,31.29,0,-0.2
3.08,-112.2617,38.696,0.2,2003,2,11,8,59,4.06,0,-0.2
2.96,-111.9103,39.5115,0.2,2003,4,17,15,26,31.65,0,-0.2
1.91,-111.1615,40.1897,0.2,2003,6,21,13,56,35.66,0,-0.2
1.47,-111.9153,39.6638,0.2,2004,3,18,12,45,1.63,0,-0.2
2.14,-112.0945,39.7202,0.2,2004,3,28,8,22,22.8,0,-0.2
2.31,-111.5738,38.7575,0.2,2004,6,5,0,38,36.8,0,-0.2
2.23,-111.5043,42.3758,0.2,2004,10,15,0,11,14.41,0,-0.2
1.55,-112.5165,37.5378,0.2,2005,6,25,3,55,53.18,0,-0.2
2.83,-112.7098,38.5727,0.2,2005,7,20,15,39,28.68,0,-0.2
1.74,-114.056,37.7518,0.2,2005,7,24,5,45,29.29,0,-0.2
1.32,-112.7172,38.055,0.2,2005,8,19,11,5,36.48,0,-0.2
0.99,-111.3438,40.6193,0.2,2005,8,25,17,2,14.16,0,-0.2
0.39,-111.4045,40.621,0.2,2005,8,31,15,44,16.1,0,-0.2
2.41,-112.59,38.2182,0.2,2006,2,8,19,32,39.17,0,-0.2
1.29,-112.5593,37.874,0.2,2006,4,20,0,5,4.84,0,-0.2
1.06,-113.1193,37.4258,0.2,2007,2,16,15,54,34.28,0,-0.2
1.36,-112.208,38.5187,0.2,2007,5,2,17,54,47.61,0,-0.2
2.13,-112.2072,38.5073,0.2,2007,5,3,12,11,25.36,0,-0.2
0.98,-112.2078,38.5035,0.2,2007,6,2,3,6,59.69,0,-0.2
1.17,-112.2098,38.5167,0.2,2007,6,16,16,22,22.35,0,-0.2
1.55,-111.5008,39.1413,0.2,2007,6,22,0,12,5.23,0,-0.2
1.08,-112.2032,38.4848,0.2,2007,7,3,10,38,55.48,0,-0.2
1.85,-112.4653,38.0267,0.2,2007,7,12,14,5,59.59,0,-0.2
1.83,-112.4912,37.9773,0.2,2007,7,17,12,33,0.34,0,-0.2
1.12,-111.3965,40.6207,0.2,2007,7,19,18,6,10.77,0,-0.2
1.13,-112.45,38.4793,0.2,2007,9,20,18,51,52.25,0,-0.2
1.07,-111.3803,40.6182,0.2,2007,9,25,16,38,43,0,-0.2
1.59,-113.5548,37.0265,0.2,2007,10,8,22,45,47.87,0,-0.2
1.05,-111.3628,40.5062,0.2,2007,12,17,22,40,8.48,0,-0.2
2.67,-111.4163,42.4712,0.2,2007,12,24,2,17,1.04,0,-0.2
3.81,-112.2067,38.1963,0.2,2008,2,1,6,52,28.54,0,-0.2
2.42,-112.8942,37.1033,0.2,2008,4,18,21,46,0.94,0,-0.2
1.22,-112.5592,42.0112,0.2,2008,8,14,16,51,36.83,0,-0.2
1.53,-111.9372,40.3323,0.2,2008,10,29,21,9,11.88,0,-0.2
1.93,-112.5705,38.2358,0.2,2009,4,23,19,41,29.57,0,-0.2
2.41,-112.8822,38.5035,0.2,2009,6,2,22,42,15.45,0,-0.2
3,-112.3247,37.5345,0.2,2009,9,24,4,47,46.13,0,-0.2
2.12,-111.9012,40.8088,0.2,2009,11,11,20,2,4.51,0,-0.2
0.69,-112.2307,41.5998,0.2,2010,6,9,21,36,53.81,0,-0.2
1.62,-113.5045,36.9927,0.2,2010,7,7,20,34,37.64,0,-0.2
2.18,-113.9285,36.815,0.3,2000,5,21,3,41,32.48,0,-0.3
1.43,-113.9795,37.7783,0.3,2000,5,26,2,40,55.78,0,-0.3
2.41,-112.057,42.0963,0.3,2000,9,21,7,28,39.71,0,-0.3
2.29,-112.1998,38.4323,0.3,2000,12,30,10,49,5.26,0,-0.3
1.05,-112.9043,41.678,0.3,2001,1,21,11,0,42.91,0,-0.3
2.77,-112.5513,38.7197,0.3,2001,2,27,23,10,58.45,0,-0.3
2.39,-112.6815,38.2192,0.3,2001,3,3,1,24,42.16,0,-0.3
2.8,-112.5522,38.7323,0.3,2001,3,21,16,3,42.18,0,-0.3
1.19,-112.1682,40.5282,0.3,2001,6,14,6,5,4.55,0,-0.3
2.81,-112.6947,38.0718,0.3,2001,8,31,0,1,48.6,0,-0.3
2.74,-113.0415,37.7927,0.3,2001,10,3,8,31,49.84,0,-0.3
0.26,-111.38,40.6198,0.3,2001,10,28,22,7,50.8,0,-0.3
0.05,-111.3547,40.6208,0.3,2002,1,12,0,53,1.53,0,-0.3
1.6,-113.3698,37.853,0.3,2002,2,6,22,37,45.81,0,-0.3
1.53,-112.6638,38.0187,0.3,2002,2,22,5,9,18.16,0,-0.3
0.63,-112.4822,38.0588,0.3,2002,4,4,10,43,34.53,0,-0.3
3.01,-114.187,39.068,0.3,2002,4,15,13,17,37.33,0,-0.3
1.42,-111.091,42.3315,0.3,2002,9,2,19,50,32.27,0,-0.3
1.55,-111.4872,42.4043,0.3,2002,9,6,6,1,32.49,0,-0.3
2.37,-112.3128,41.6545,0.3,2002,10,4,12,30,56.91,0,-0.3
1.53,-112.839,38.4928,0.3,2002,10,27,11,38,16.16,0,-0.3
2.13,-111.6928,42.374,0.3,2002,11,5,21,36,14.16,0,-0.3
1.34,-111.4858,38.8295,0.3,2002,11,8,4,59,35.45,0,-0.3
1.91,-112.2713,38.5625,0.3,2004,2,3,17,26,38.89,0,-0.3
1.55,-112.6638,38.2147,0.3,2004,5,12,4,34,48.27,0,-0.3
1.47,-111.1358,42.4595,0.3,2004,12,18,11,34,3.71,0,-0.3
2.71,-112.6762,38.1555,0.3,2004,12,22,21,44,2.22,0,-0.3
1.99,-114.0602,40.1368,0.3,2005,2,9,2,9,35.95,0,-0.3
2.6,-110.4972,37.6195,0.3,2005,7,15,3,42,13.27,0,-0.3
1.83,-114.214,37.694,0.3,2005,7,23,10,42,38.26,0,-0.3
2.29,-112.6227,38.2937,0.3,2005,9,4,23,1,38.67,0,-0.3
1.61,-112.5582,38.2328,0.3,2005,11,5,8,21,55.31,0,-0.3
1.76,-112.5957,38.2163,0.3,2006,2,25,0,20,55.46,0,-0.3
1.19,-111.8333,40.7813,0.3,2006,6,15,21,32,3.82,0,-0.3
1.69,-111.442,40.6547,0.3,2006,7,12,19,55,0.19,0,-0.3
1.84,-113.932,36.7718,0.3,2007,5,8,1,50,44.54,0,-0.3
1.25,-110.946,39.5332,0.3,2007,6,19,14,42,48.26,0,-0.3
0.6,-111.4432,40.5622,0.3,2007,6,26,23,41,42.92,0,-0.3
0.85,-111.4127,40.6198,0.3,2007,8,2,16,11,23.2,0,-0.3
2.97,-108.9037,40.1595,0.3,2007,9,7,13,51,26.38,0,-0.3
3.05,-112.8253,37.2298,0.3,2008,4,27,10,0,18.14,0,-0.3
1.49,-112.4755,37.8028,0.3,2008,5,30,22,5,41.85,0,-0.3
1.79,-112.6485,38.2833,0.3,2008,11,1,16,18,50.07,0,-0.3
0.63,-112.4425,41.9348,0.3,2008,11,15,4,46,5.69,0,-0.3
2.28,-112.8637,38.4962,0.3,2009,2,25,1,7,4.8,0,-0.3
1.97,-112.447,38.063,0.3,2009,5,12,23,18,45.84,0,-0.3
3,-112.6163,38.2485,0.3,2009,10,15,22,20,9.1,0,-0.3
1.19,-112.3698,38.6682,0.3,2009,11,11,4,17,8.34,0,-0.3
1.72,-112.6895,38.5907,0.3,2010,3,4,0,2,53.67,0,-0.3
2.19,-111.8497,39.4528,0.3,2010,6,9,21,0,42.02,0,-0.3
1.24,-112.4588,37.9617,0.4,2000,1,7,2,12,38.94,0,-0.4
0.95,-112.439,38.7235,0.4,2000,3,24,0,51,38.37,0,-0.4
1.41,-112.4365,38.7127,0.4,2000,3,24,1,57,40.94,0,-0.4
2.35,-112.921,37.1008,0.4,2000,10,2,2,33,51.86,0,-0.4
1.93,-112.5433,38.7068,0.4,2001,2,25,0,19,53.88,0,-0.4
1.87,-112.542,38.6903,0.4,2001,2,28,8,54,22.22,0,-0.4
2.18,-112.5022,38.722,0.4,2001,5,20,1,47,33.44,0,-0.4
3.29,-111.1932,42.453,0.4,2001,8,31,12,14,51.89,0,-0.4
1.49,-112.3537,38.128,0.4,2002,1,15,10,23,10.74,0,-0.4
1.48,-113.2967,37.2977,0.4,2002,4,1,12,31,16.86,0,-0.4
1.65,-113.0295,37.7307,0.4,2002,6,17,4,50,37.99,0,-0.4
2.31,-111.944,37.9537,0.4,2002,7,22,22,14,34.63,0,-0.4
1.86,-111.4688,38.8335,0.4,2002,11,8,9,39,51.71,0,-0.4
2.22,-112.8967,37.899,0.4,2002,11,14,8,50,55.82,0,-0.4
1.92,-112.6107,38.2337,0.4,2002,12,31,21,8,20.62,0,-0.4
0.61,-111.3583,40.6302,0.4,2003,4,7,23,38,41.63,0,-0.4
2.04,-111.896,39.515,0.4,2003,4,17,1,42,18.71,0,-0.4
